video_id,channel_id,video_title,description,published_at,thumbnail_url,category_id,tags,view_count,like_count,comment_count,duration_seconds,duration_iso,definition,caption,topic_categories,engagement_rate,views_per_day,days_since_publish,is_billionaires_watch,is_milestones_watch,is_highly_viral,attention_segment,like_view_ratio,comment_view_ratio,like_comment_ratio,ingestion_timestamp
gtkqnhN0VkU,UCX6OQ3DkcsbYNE6H8uQQuVA,"Answer The Door, Win $10,000","",2025-10-14 16:00:00,https://i.ytimg.com/vi/gtkqnhN0VkU/hqdefault.jpg,24,,58694848,1838374,34869,31,PT31S,hd,false,https://en.wikipedia.org/wiki/Entertainment,3.1915,1586347.24,37,false,false,true,highly_viral,0.0313,0.0006,52.7223,2025-11-21 01:33:19
oBXSvS2QKxU,UCX6OQ3DkcsbYNE6H8uQQuVA,100 Kids Vs World's Strongest Man!,"No one could have predicted that outcome at the end lol

Feastables launched a new variety bag in Costco just in time for Halloween so you can give out mini sizes of our favorite flavors to trick-or-treaters! Find a store near you 👉 https://www.costco.com/w/-/locations FeastablesPartner

Incase you noticed the turbines moving during the Plane Pull section of the video, we just wanted to mention these engines were on idle therefore not sucking in any air. In order to control the planes braking system you have to have the engines on idle, which is standard in every strong man competition. We also had 2 pilots in the plane with full control of the aircraft along with personnel in contact and guiding them to ensure everything was safe for the kids, parents and crew we had on set that day.

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2025-10-11 16:00:00,https://i.ytimg.com/vi/oBXSvS2QKxU/hqdefault.jpg,24,,127789176,2564699,47562,1641,PT27M21S,hd,true,https://en.wikipedia.org/wiki/Entertainment,2.0442,3194729.4,40,false,false,true,highly_viral,0.0201,0.0004,53.9233,2025-11-21 01:33:19
UTdcX1e0cMA,UCX6OQ3DkcsbYNE6H8uQQuVA,"Jump Over The Lava, Win!","",2025-10-10 16:00:01,https://i.ytimg.com/vi/UTdcX1e0cMA/hqdefault.jpg,24,,56555330,1640694,9902,63,PT1M3S,hd,false,"https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture",2.9186,1379398.29,41,false,false,true,highly_viral,0.029,0.0002,165.6932,2025-11-21 01:33:19
oiZvK6MY7tI,UCX6OQ3DkcsbYNE6H8uQQuVA,"Call Your Ex, Win $10,000","",2025-10-07 16:00:00,https://i.ytimg.com/vi/oiZvK6MY7tI/hqdefault.jpg,24,,71354778,2018920,7390,34,PT34S,hd,false,https://en.wikipedia.org/wiki/Entertainment,2.8398,1621699.5,44,false,false,true,highly_viral,0.0283,0.0001,273.1962,2025-11-21 01:33:19
F0OkwXKcPSE,UCX6OQ3DkcsbYNE6H8uQQuVA,Hi Me In 10 Years,"Holy crap I will probably be so different when this goes public.

I will be done with highschool
I will have gone through college
Probably gotten married (jk I am a loser)

If I still do youtube that will be crazy.",2025-10-04 16:00:07,https://i.ytimg.com/vi/F0OkwXKcPSE/hqdefault.jpg,24,"Mr.Beast,mr,beast",49464508,3357295,104895,194,PT3M14S,hd,true,https://en.wikipedia.org/wiki/Lifestyle_(sociology),6.9993,1052436.34,47,false,false,true,highly_viral,0.0679,0.0021,32.0062,2025-11-21 01:33:19
686PL7rt654,UCX6OQ3DkcsbYNE6H8uQQuVA,World’s Fastest Dinner Date,"",2025-10-03 16:00:03,https://i.ytimg.com/vi/686PL7rt654/hqdefault.jpg,24,,212774817,3114598,9633,34,PT34S,hd,false,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",1.4683,4432808.69,48,false,false,true,highly_viral,0.0146,0.0,323.3259,2025-11-21 01:33:19
zo7i8VTpfNM,UCX6OQ3DkcsbYNE6H8uQQuVA,"Would You Risk Dying For $500,000?","i cant believe he did that at the end
Jack Link’s x MrBeast beef sticks have arrived! Click and go get yours now 👉 https://bit.ly/JLMBYT1 #snacklikeabeast #JackLinksPartner

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2025-09-27 16:00:04,https://i.ytimg.com/vi/zo7i8VTpfNM/hqdefault.jpg,24,,100035230,2092016,29524,1526,PT25M26S,hd,true,https://en.wikipedia.org/wiki/Lifestyle_(sociology),2.1208,1852504.26,54,false,true,true,"milestones_watch,highly_viral",0.0209,0.0003,70.8581,2025-11-21 01:33:19
NfhuGUyWYfQ,UCX6OQ3DkcsbYNE6H8uQQuVA,Would Your Grandma Go Skydiving?,"",2025-09-26 18:00:07,https://i.ytimg.com/vi/NfhuGUyWYfQ/hqdefault.jpg,24,,73876958,2174651,7650,42,PT42S,hd,false,"https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",2.954,1343217.42,55,false,false,true,highly_viral,0.0294,0.0001,284.2681,2025-11-21 01:33:19
wIpWCJKfRXs,UCX6OQ3DkcsbYNE6H8uQQuVA,I Cooked A Pizza With Power Tools,"",2025-09-23 16:00:07,https://i.ytimg.com/vi/wIpWCJKfRXs/hqdefault.jpg,24,,317082668,6224609,23006,40,PT40S,hd,false,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Food",1.9703,5466942.55,58,false,false,true,highly_viral,0.0196,0.0001,270.5646,2025-11-21 01:33:19
9Xeepzg1B8I,UCX6OQ3DkcsbYNE6H8uQQuVA,Which Celebrity Punches The Hardest?,"",2025-09-19 16:00:03,https://i.ytimg.com/vi/9Xeepzg1B8I/hqdefault.jpg,24,,141596903,3023379,8940,47,PT47S,hd,false,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program",2.1415,2283821.02,62,false,false,true,highly_viral,0.0214,0.0001,338.1856,2025-11-21 01:33:19
50G0kIty7Cg,UCX6OQ3DkcsbYNE6H8uQQuVA,"Answer The Call, Win $10,000","",2025-09-16 17:00:04,https://i.ytimg.com/vi/50G0kIty7Cg/hqdefault.jpg,24,,502197333,6975796,16331,39,PT39S,hd,false,https://en.wikipedia.org/wiki/Entertainment,1.3923,7726112.82,65,false,false,true,highly_viral,0.0139,0.0,427.1506,2025-11-21 01:33:19
4l97aNza_Zc,UCX6OQ3DkcsbYNE6H8uQQuVA,"Survive 30 Days Chained To Your Ex, Win $250,000","I can’t believe they chose to do that
Sign up for Current 👉  http://current.com/beast?utm_source=inf&utm_campaign=beast&utm_adgroup=Beast_2025-09-13&utm_creative=description with the code BEAST to get $1! Get paid faster, qualify for an advance up to $750, save smarter, and build credit all in one app. #CurrentPartner

Go find the NEW Feastables Chocolate Milk and Sour Strikes Gummies at a store near you 👉 https://fstbls.com/5mj6dv #FeastablesPartner

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------

Current is a financial technology company, not an FDIC-insured bank. Banking services provided by Choice Bank and/or Cross River Bank, both FDIC insured. Terms and conditions apply. See https://current.com/legal_disclaimers for details.",2025-09-13 16:00:01,https://i.ytimg.com/vi/4l97aNza_Zc/hqdefault.jpg,24,,169344739,3561731,55477,2224,PT37M4S,hd,true,https://en.wikipedia.org/wiki/Lifestyle_(sociology),2.136,2490363.81,68,false,false,true,highly_viral,0.021,0.0003,64.2019,2025-11-21 01:33:19
3ih2bPKSWsQ,UCX6OQ3DkcsbYNE6H8uQQuVA,I Arrested IShowSpeed,"",2025-09-12 17:00:01,https://i.ytimg.com/vi/3ih2bPKSWsQ/hqdefault.jpg,24,,66537380,2060145,5981,35,PT35S,hd,false,https://en.wikipedia.org/wiki/Entertainment,3.1052,964309.86,69,false,false,true,highly_viral,0.031,0.0001,344.4483,2025-11-21 01:33:19
uA9Zcg3vHvo,UCX6OQ3DkcsbYNE6H8uQQuVA,I Raced IShowSpeed,"New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2025-09-01 20:45:41,https://i.ytimg.com/vi/uA9Zcg3vHvo/hqdefault.jpg,24,,364656134,7100211,8900,47,PT47S,hd,false,https://en.wikipedia.org/wiki/Sport,1.9495,4558201.67,80,false,false,true,highly_viral,0.0195,0.0,797.7765,2025-11-21 01:33:19
_AbFXuGDRTs,UCX6OQ3DkcsbYNE6H8uQQuVA,"$1 vs $1,000,000,000 Nuclear Bunker!","Feastables Creamy Hazelnut Cups are available for a limited time at Five Below, Circle K, and Albertsons! Go get them while you can 👉🏼  https://fstbls.com/5mj6dv #feastablespartner #ad

MASSIVE SHOUT TO COLIN FURZE - https://www.youtube.com/@colinfurze

He was so kind to me when I visited and I’m very grateful for the time he gave me. Amazing guy

Special Thanks to the United States Department of Defense, the Government of Canada Department of National Defense, and the North American Aerospace Defense Command

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2025-08-30 16:00:11,https://i.ytimg.com/vi/_AbFXuGDRTs/hqdefault.jpg,24,,126727808,2677311,34684,1038,PT17M18S,hd,true,"",2.14,1545461.07,82,false,false,true,highly_viral,0.0211,0.0003,77.1915,2025-11-21 01:33:19
MOGW3v3pJ5Y,UCX6OQ3DkcsbYNE6H8uQQuVA,1 Subscriber = 1 Penny Donated,"",2025-08-29 16:00:10,https://i.ytimg.com/vi/MOGW3v3pJ5Y/hqdefault.jpg,24,,573248783,22559562,28232,18,PT18S,hd,false,https://en.wikipedia.org/wiki/Lifestyle_(sociology),3.9403,6906611.84,83,false,false,true,highly_viral,0.0394,0.0,799.0777,2025-11-21 01:33:19
XNtTO_339kU,UCX6OQ3DkcsbYNE6H8uQQuVA,"Pick The Wrong Tube, Get Slimed","",2025-08-27 16:00:02,https://i.ytimg.com/vi/XNtTO_339kU/hqdefault.jpg,24,,103272625,2354513,7412,36,PT36S,hd,false,https://en.wikipedia.org/wiki/Entertainment,2.2871,1214972.06,85,false,true,true,"milestones_watch,highly_viral",0.0228,0.0001,317.6623,2025-11-21 01:33:19
rB9NynBZ4go,UCX6OQ3DkcsbYNE6H8uQQuVA,Reaction Time Challenge,"",2025-08-19 16:00:02,https://i.ytimg.com/vi/rB9NynBZ4go/hqdefault.jpg,24,,110896167,1827916,11041,29,PT29S,hd,false,https://en.wikipedia.org/wiki/Entertainment,1.6583,1192431.9,93,false,false,true,highly_viral,0.0165,0.0001,165.5571,2025-11-21 01:33:19
TDv56whosPQ,UCX6OQ3DkcsbYNE6H8uQQuVA,"Survive 100 Days In Prison, Win $500,000","I did not expect them to do that lol
Get your hands on the new MrBeast Lab Hybrids here:
https://www.moosetoys.com/brands/mr-beast-lab #ad #MooseToysPartner


New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2025-08-16 19:00:02,https://i.ytimg.com/vi/TDv56whosPQ/hqdefault.jpg,24,,126959716,2919771,40688,2376,PT39M36S,hd,true,"",2.3318,1322497.04,96,false,false,true,highly_viral,0.023,0.0003,71.76,2025-11-21 01:33:19
R_BmT1OJw98,UCX6OQ3DkcsbYNE6H8uQQuVA,Every YouTube Play Button I Have,"",2025-08-15 16:00:01,https://i.ytimg.com/vi/R_BmT1OJw98/hqdefault.jpg,24,,89115006,2181969,13767,15,PT15S,hd,false,https://en.wikipedia.org/wiki/Entertainment,2.4639,918711.4,97,false,false,true,highly_viral,0.0245,0.0002,158.4927,2025-11-21 01:33:19
vpRW4JhzfSE,UCX6OQ3DkcsbYNE6H8uQQuVA,1 Subscriber = 1 Second In The Arctic,"",2025-08-08 16:00:02,https://i.ytimg.com/vi/vpRW4JhzfSE/hqdefault.jpg,24,,74864929,2444432,10833,17,PT17S,hd,false,https://en.wikipedia.org/wiki/Entertainment,3.2796,719855.09,104,false,false,true,highly_viral,0.0327,0.0001,225.6468,2025-11-21 01:33:19
qXW93Cois2s,UCX6OQ3DkcsbYNE6H8uQQuVA,Guess What Hit You,"",2025-08-05 16:00:01,https://i.ytimg.com/vi/qXW93Cois2s/hqdefault.jpg,24,,67695343,1199474,5592,32,PT32S,hd,false,https://en.wikipedia.org/wiki/Entertainment,1.7801,632666.76,107,false,false,true,highly_viral,0.0177,0.0001,214.4982,2025-11-21 01:33:19
r7f0L48dHpc,UCX6OQ3DkcsbYNE6H8uQQuVA,$1  = One Year of Clean Water,"",2025-08-02 16:00:02,https://i.ytimg.com/vi/r7f0L48dHpc/hqdefault.jpg,24,,122341777,3719133,15211,32,PT32S,hd,false,"",3.0524,1112197.97,110,false,false,true,highly_viral,0.0304,0.0001,244.5029,2025-11-21 01:33:19
Z4hVGCWH1Kc,UCX6OQ3DkcsbYNE6H8uQQuVA,"2,000,000 People Get Clean Water For The First Time!","$1 will provide 1 person with clean water for a year
Thanks to Shopify for supporting our mission to raise $40,000,000 for clean water for 2,000,000 people. Go to https://teamwater.org to donate today!

Thank you to YouTube for matching the next $2,000,000 in donations!

Get your TeamWater merch here https://mrbeast.store/pages/team-water 100% of profits go directly to #TeamWater

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2025-08-01 16:00:01,https://i.ytimg.com/vi/Z4hVGCWH1Kc/hqdefault.jpg,24,,83077290,2331506,45520,620,PT10M20S,hd,true,"",2.8612,748444.05,111,false,false,true,highly_viral,0.0281,0.0005,51.2194,2025-11-21 01:33:19
zxuICI0kL3s,UCX6OQ3DkcsbYNE6H8uQQuVA,"Don’t Turn Around, Win $10k","",2025-07-31 16:00:01,https://i.ytimg.com/vi/zxuICI0kL3s/hqdefault.jpg,24,,318427986,6060683,8068,31,PT31S,hd,false,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Television_program",1.9058,2843107.02,112,false,false,true,highly_viral,0.019,0.0,751.2002,2025-11-21 01:33:19
R1SFXJo-FlE,UCX6OQ3DkcsbYNE6H8uQQuVA,Subscribe To Explode The TNT,"",2025-07-29 16:00:01,https://i.ytimg.com/vi/R1SFXJo-FlE/hqdefault.jpg,24,,199625895,3803537,11152,19,PT19S,hd,false,https://en.wikipedia.org/wiki/Entertainment,1.9109,1751104.34,114,false,false,true,highly_viral,0.0191,0.0001,341.0632,2025-11-21 01:33:19
lQz5aqjZ3lQ,UCX6OQ3DkcsbYNE6H8uQQuVA,"Find This Briefcase, Win $10,000","",2025-07-25 16:00:02,https://i.ytimg.com/vi/lQz5aqjZ3lQ/hqdefault.jpg,24,,184257661,4985553,14033,67,PT1M7S,hd,false,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film",2.7134,1561505.6,118,false,false,true,highly_viral,0.0271,0.0001,355.2735,2025-11-21 01:33:19
EiFcNbXBqeo,UCX6OQ3DkcsbYNE6H8uQQuVA,Jet Engine vs Human for $10k,"",2025-07-20 16:00:01,https://i.ytimg.com/vi/EiFcNbXBqeo/hqdefault.jpg,24,,129654950,2080689,6376,24,PT24S,hd,false,https://en.wikipedia.org/wiki/Entertainment,1.6097,1054105.28,123,false,false,true,highly_viral,0.016,0.0,326.3314,2025-11-21 01:33:19
